position,flowgofluxconductionheat,effective_temperature_snyder,characteristic_surface_temperature,effective_radiation_temperature,flowgofluxforcedconvectionheat,flowgofluxradiationheat,flowgofluxsnyderheat,heat_budget,channel_width,crystal_fraction,core_temperature,viscosity,density,mean_velocity,crust_temperature,effective_cover_fraction,dphi_dx,dtemp_dx,dphi_dtemp,dtemp_dt,slope,effusion_rate,channel_depth,tho_0,tho_b
37540.0,470250.4933325482,814.3451244060833,0,0,0,0,10606446.948063394,11076697.441395942,756.4233362856415,0.42412529102957985,1291.1867509176352,378723.8238556081,2472.2,0.0626126937443614,773.15,0.891028784090204,1.828760806210341e-05,-0.0035512557817895364,0.005149617258176763,0.013341221440384857,0.0174532925199433,700.0059658460069,14.779999999999987,563.9904407152156,5656.3591141915995
37550.0,471678.27596666786,814.3308100801363,0,0,0,0,10638472.780735409,11110151.056702077,758.7720173158817,0.42430816711020086,1291.1512383598174,379818.4834758815,2472.2,0.062418884217001876,773.15,0.8910564148974123,1.834283992234116e-05,-0.003561981211946515,0.005149617258176763,0.013340093571097533,0.017453292519943295,700.0059658460069,14.779999999999987,564.6837907484455,5656.359114191599
37560.0,473115.5681530293,814.316480654767,0,0,0,0,10670713.304736685,11143828.872889714,761.1364767383448,0.4244915955094243,1291.115618547698,380920.2269513752,2472.2,0.06222498085875138,773.15,0.8910840599392457,1.8398441937841315e-05,-0.0035727785222537754,0.005149617258176763,0.013338964509587953,0.0174532925199433,700.0059658460069,14.779999999999987,565.3797903923984,5656.3591141915995
37570.0,474562.4683469106,814.3021360375996,0,0,0,0,10703170.750981884,11177733.219328795,763.5168787402955,0.42467557992880267,1291.0798907624755,382029.12621044595,2472.2,0.062030983223424846,773.15,0.8911117192805921,1.845441795438958e-05,-0.0035836484595213234,0.005149617258176763,0.01333783424827317,0.017453292519943295,700.0059658460069,14.779999999999987,566.0784589406453,5656.359114191599
37580.0,476019.0763895027,814.2877761353437,0,0,0,0,10735847.381868558,11211866.45825806,765.9133898283272,0.42486012410834656,1291.0440542778804,383145.2541792961,2472.2,0.06183689086119343,773.15,0.8911393929868674,1.851077187203797e-05,-0.0035945917810970983,0.005149617258176763,0.01333670277949465,0.0174532925199433,700.0059658460069,14.779999999999987,566.7798158970317,5656.3591141915995
37590.0,477485.49353261024,814.2734008537819,0,0,0,0,10768745.491839247,11246230.985371858,768.3261788698067,0.42504523182706694,1291.0081083600694,384268.6847995511,2472.2,0.061642703318542574,773.15,0.8911670811240218,1.856750764607365e-05,-0.003605609255055108,0.005149617258176763,0.0133355700955172,0.017453292519943295,700.0059658460069,14.779999999999987,567.483880978743,5656.359114191599
37600.0,478961.82246389956,814.2590100977573,0,0,0,0,10801867.40795623,11280829.23042013,770.7554171352429,0.42523090690352766,1290.9720522675188,385399.4930462254,2472.2,0.06144842013822721,773.15,0.8911947837585461,1.862462928800952e-05,-0.00361670166038779,0.005149617258176763,0.013334436188527973,0.0174532925199433,700.0059658460069,14.779999999999987,568.1906741194261,5656.3591141915995
37610.0,480448.1673326895,814.2446037711596,0,0,0,0,10835215.490488468,11315663.657821158,773.2012783415657,0.42541715319640777,1290.935885250915,386537.75494606927,2472.2,0.0612540408592272,773.15,0.8912225009574783,1.8682140866595845e-05,-0.003627869787202459,0.005149617258176763,0.013333301050635318,0.017453292519943295,700.0059658460069,14.779999999999987,568.9002154723686,5656.359114191599
37620.0,481944.6337762982,814.2301817769131,0,0,0,0,10868792.133511338,11350736.767287636,775.6639386963412,0.4256039746050737,1290.899606553043,387683.5475963065,2472.2,0.06105956501670273,773.15,0.8912502327884099,1.8740046508853904e-05,-0.0036391144369220304,0.005149617258176763,0.013332164673867736,0.0174532925199433,700.0059658460069,14.779999999999987,569.6125254137357,5656.3591141915995
37630.0,483451.32894697814,814.2157440169627,0,0,0,0,10902599.76551976,11386051.094466738,778.1435769429755,0.42579137507016224,1290.8632154086738,388836.9491837889,2472.2,0.0608649921419473,773.15,0.8912779793194926,1.879835040113273e-05,-0.00365043642249023,0.005149617258176763,0.013331027050172764,0.017453292519943295,700.0059658460069,14.779999999999987,570.3276245458686,5656.359114191599
37640.0,484968.3615394305,814.20129039226,0,0,0,0,10936640.850054473,11421609.211593904,780.6403744068931,0.42597935857417357,1290.826711044449,389998.03900455753,2472.2,0.060670321762341536,773.15,0.8913057406194456,1.8857056790188528e-05,-0.0036618365685812003,0.005149617258176763,0.013329888171415803,0.0174532925199433,700.0059658460069,14.779999999999987,571.0455337006422,5656.3591141915995
